"04.042.07";"264"
"04.042.08";"387"
"04.043.01";"314, 504"
"04.043.02";"549"
"04.043.05";"354"
"04.045.01";"209"
"04.045.02";"49"
"04.045.07";"556"
"04.046.04";"309"
"04.047.02";"84"
"04.048.04";"362"
"04.049.01";"84"
"04.049.03";"84"
"04.050.01";"46"
"04.050.08";"558"
"04.050.10";"84, 106"
"04.051.01";"313"
"04.051.04";"336"
"04.051.05";"48"
"04.051.06";"269"
"04.051.11";"84"
"04.053.07";"130"
"04.054.01";"327"
"04.054.03";"118"
"04.054.04";"421, 595"
"04.054.05";"143"
"04.054.06";"123, 311"
"04.055.03";"328"
"04.055.07";"417"
"04.055.08";"311"
"04.055.10";"124"
"04.057.01";"311"
"04.057.06";"36, 328"
"04.058.02";"303, 311"
"04.058.03";"100"
"04.058.05";"135, 421"
"04.058.08";"354"
"04.058.09";"217, 413"
"05.001.01";"49, 266, 463"
"05.001.03";"578"
"05.001.09";"47"
"05.001.10";"144"
"05.002.03";"394"
"05.002.04";"107, 265"
"05.002.05";"311"
"05.002.07";"82, 109"
"05.002.09";"422"
"05.002.10";"415"
"05.002.11";"324"
"05.002.12";"312"
"05.003.09";"315"
"05.003.10";"324, 550"
"05.003.12";"358"
"05.004.08";"118"
"05.004.10";"561"
"05.004.11";"319"
"05.006.02";"48, 264"
"05.006.04";"205"
"05.007.07";"478"
"05.007.10";"529"
"05.010.04";"137"
"05.010.06";"416"
"05.011.03";"391"
"05.012.03";"205"
"05.012.05";"103"
"05.013.03";"313, 357"
"05.014.01";"381"
"05.014.03";"415"
"05.014.05";"205, 313"
"05.014.06";"562"
"05.015.03";"383"
"05.015.04";"580"
"05.016.05";"83"
"05.017.01";"333"
"05.017.03";"482"
"05.018.01";"264, 333"
"05.018.06";"398"
"05.020.01";"200"
"05.021.04";"333"
"05.025.01";"311"
"05.025.02";"558"
"05.025.08";"270"
"05.025.09";"312"
"05.027.04";"529"
"05.028.01";"183"
"05.029.04";"423"
"05.029.13";"303, 314"
"05.029.14";"561"
"05.030.03";"303"
"05.030.04";"424"
"05.030.06";"312"
"05.030.09";"180, 423, 424"
"05.030.15";"120, 420, 503"
"05.031.02";"438"
"05.031.03";"48, 579"
"05.031.04";"89, 415"
"05.031.06";"322"
"05.031.12";"270, 371"
"05.031.13";"117"
"05.032.03";"104"
"05.032.05";"37"
"05.032.07";"578"
"05.032.10";"142, 574"
"05.033.06";"356"
"05.034.02";"46, 133, 415"
"05.034.05";"37, 417"
"05.034.07";"269, 420"
"05.034.08";"97"
"05.034.09";"357"
"05.035.02";"81"
"05.036.01";"417"
"05.036.03";"315, 550"
"05.037.01";"530"
"05.037.05";"120, 318, 319"
"05.039.02";"422"
"05.040.04";"311, 406"
"05.040.05";"383"
